Sat_type,YMD,Start_time,End_time,id,Degree,Coeff,null
SVDNB_npp_d20220101_t1227373_e1229015_b52751_c20220101135919815350_oeac_ops.h5,20220101,t1227373,e1229015,b52751_c20220101135919815350,3,4.8062e-08; -0.00021814; 0.30308;,0
SVDNB_npp_d20220101_t1229027_e1230269_b52751_c20220101135930247739_oeac_ops.h5,20220101,t1229027,e1230269,b52751_c20220101135930247739,3,5.8685e-08; -0.0002357; 0.30977;,0
SVDNB_npp_d20220102_t1208417_e1210059_b52765_c20220102133735333026_oeac_ops.h5,20220102,t1208417,e1210059,b52765_c20220102133735333026,3,5.594e-08; -0.00023469; 0.30619;,0
SVDNB_npp_d20220102_t1210071_e1211313_b52765_c20220102133738574499_oeac_ops.h5,20220102,t1210071,e1211313,b52765_c20220102133738574499,3,6.3429e-08; -0.0002482; 0.31435;,0
SVDNB_npp_d20220103_t1149461_e1151103_b52779_c20220103131859786079_oeac_ops.h5,20220103,t1149461,e1151103,b52779_c20220103131859786079,3,8.082e-08; -0.00027091; 0.32371;,0
SVDNB_npp_d20220103_t1151115_e1152357_b52779_c20220103131905249495_oeac_ops.h5,20220103,t1151115,e1152357,b52779_c20220103131905249495,3,5.6771e-08; -0.00023519; 0.30811;,0
SVDNB_npp_d20220130_t1322003_e1323245_b53163_c20220130145235164800_oecc_ops.h5,20220130,t1322003,e1323245,b53163_c20220130145235164800,3,9.5939e-08; -0.00028578; 0.33462;,0
SVDNB_npp_d20220130_t1323257_e1324499_b53163_c20220130145238616947_oecc_ops.h5,20220130,t1323257,e1324499,b53163_c20220130145238616947,3,9.1928e-08; -0.00028699; 0.33176;,0
SVDNB_npp_d20220131_t1124553_e1126195_b53176_c20220131125310571942_oecc_ops.h5,20220131,t1124553,e1126195,b53176_c20220131125310571942,3,5.1885e-08; -0.00022382; 0.30689;,0
SVDNB_npp_d20220131_t1304301_e1305543_b53177_c20220131143329630254_oecc_ops.h5,20220131,t1304301,e1305543,b53177_c20220131143329630254,3,5.459e-08; -0.00022999; 0.3039;,0
SVDNB_npp_d20220201_t1106014_e1107256_b53190_c20220201123406097449_oecc_ops.h5,20220201,t1106014,e1107256,b53190_c20220201123406097449,3,0; 0; 0;,0
SVDNB_npp_d20220201_t1245345_e1246586_b53191_c20220201141409615747_oecc_ops.h5,20220201,t1245345,e1246586,b53191_c20220201141409615747,3,5.795e-08; -0.0002444; 0.31618;,0
SVDNB_npp_d20220130_t1322003_e1323245_b53163_c20220130145235164800_oecc_ops.h5,20220130,t1322003,e1323245,b53163_c20220130145235164800,3,9.5939e-08; -0.00028578; 0.33462;,0
SVDNB_npp_d20220130_t1323257_e1324499_b53163_c20220130145238616947_oecc_ops.h5,20220130,t1323257,e1324499,b53163_c20220130145238616947,3,9.1928e-08; -0.00028699; 0.33176;,0
SVDNB_npp_d20220131_t1124553_e1126195_b53176_c20220131125310571942_oecc_ops.h5,20220131,t1124553,e1126195,b53176_c20220131125310571942,3,5.1885e-08; -0.00022382; 0.30689;,0
SVDNB_npp_d20220131_t1304301_e1305543_b53177_c20220131143329630254_oecc_ops.h5,20220131,t1304301,e1305543,b53177_c20220131143329630254,3,5.459e-08; -0.00022999; 0.3039;,0
SVDNB_npp_d20220130_t1322003_e1323245_b53163_c20220130145235164800_oecc_ops.h5,20220130,t1322003,e1323245,b53163_c20220130145235164800,3,9.5939e-08; -0.00028578; 0.33462;,0
SVDNB_npp_d20220130_t1323257_e1324499_b53163_c20220130145238616947_oecc_ops.h5,20220130,t1323257,e1324499,b53163_c20220130145238616947,3,9.1928e-08; -0.00028699; 0.33176;,0
SVDNB_npp_d20220131_t1124553_e1126195_b53176_c20220131125310571942_oecc_ops.h5,20220131,t1124553,e1126195,b53176_c20220131125310571942,3,5.1885e-08; -0.00022382; 0.30689;,0
SVDNB_npp_d20220131_t1304301_e1305543_b53177_c20220131143329630254_oecc_ops.h5,20220131,t1304301,e1305543,b53177_c20220131143329630254,3,5.459e-08; -0.00022999; 0.3039;,0
SVDNB_npp_d20220130_t1322003_e1323245_b53163_c20220130145235164800_oecc_ops.h5,20220130,t1322003,e1323245,b53163_c20220130145235164800,3,9.5939e-08; -0.00028578; 0.33462;,0
SVDNB_npp_d20220130_t1323257_e1324499_b53163_c20220130145238616947_oecc_ops.h5,20220130,t1323257,e1324499,b53163_c20220130145238616947,3,9.1928e-08; -0.00028699; 0.33176;,0
SVDNB_npp_d20220131_t1124553_e1126195_b53176_c20220131125310571942_oecc_ops.h5,20220131,t1124553,e1126195,b53176_c20220131125310571942,3,5.1885e-08; -0.00022382; 0.30689;,0
SVDNB_npp_d20220131_t1304301_e1305543_b53177_c20220131143329630254_oecc_ops.h5,20220131,t1304301,e1305543,b53177_c20220131143329630254,3,5.459e-08; -0.00022999; 0.3039;,0
SVDNB_npp_d20220201_t1245345_e1246586_b53191_c20220201141409615747_oecc_ops.h5,20220201,t1245345,e1246586,b53191_c20220201141409615747,3,5.795e-08; -0.0002444; 0.31618;,0
SVDNB_npp_d20220201_t1246599_e1248240_b53191_c20220201141408671427_oecc_ops.h5,20220201,t1246599,e1248240,b53191_c20220201141408671427,3,5.7229e-08; -0.00023967; 0.31149;,0
SVDNB_npp_d20220301_t1220448_e1222090_b53588_c20220301135218783827_oebc_ops.h5,20220301,t1220448,e1222090,b53588_c20220301135218783827,3,7.3003e-08; -0.00026488; 0.31358;,0
SVDNB_npp_d20220301_t1222102_e1223344_b53588_c20220301135249202837_oebc_ops.h5,20220301,t1222102,e1223344,b53588_c20220301135249202837,3,6.755e-08; -0.00025815; 0.31303;,0
SVDNB_npp_d20220302_t1201491_e1203133_b53602_c20220302134102828047_oebc_ops.h5,20220302,t1201491,e1203133,b53602_c20220302134102828047,3,6.341e-08; -0.00025049; 0.31058;,0
SVDNB_npp_d20220302_t1341239_e1342481_b53603_c20220302151910111086_oebc_ops.h5,20220302,t1341239,e1342481,b53603_c20220302151910111086,3,6.4594e-08; -0.00024848; 0.30821;,0
SVDNB_npp_d20220303_t1142535_e1144177_b53616_c20220303131650921406_oebc_ops.h5,20220303,t1142535,e1144177,b53616_c20220303131650921406,3,7.4031e-08; -0.00026666; 0.31679;,0
SVDNB_npp_d20220303_t1144189_e1145431_b53616_c20220303131650070380_oebc_ops.h5,20220303,t1144189,e1145431,b53616_c20220303131650070380,3,7.8079e-08; -0.00027331; 0.3191;,0
SVDNB_npp_d20220331_t1257380_e1259022_b54014_c20220331142714780954_oeac_ops.h5,20220331,t1257380,e1259022,b54014_c20220331142714780954,3,6.233e-08; -0.00024383; 0.31409;,0
SVDNB_npp_d20220331_t1259034_e1300276_b54014_c20220331142716335151_oeac_ops.h5,20220331,t1259034,e1300276,b54014_c20220331142716335151,3,4.6427e-08; -0.00021959; 0.30293;,0
SVDNB_npp_d20220401_t1238424_e1240065_b54028_c20220401140803465564_oeac_ops.h5,20220401,t1238424,e1240065,b54028_c20220401140803465564,3,2.7246e-08; -0.0001789; 0.28824;,0
SVDNB_npp_d20220401_t1240078_e1241319_b54028_c20220401140835259180_oeac_ops.h5,20220401,t1240078,e1241319,b54028_c20220401140835259180,3,4.468e-08; -0.00021595; 0.30015;,0
SVDNB_npp_d20220402_t1219467_e1221109_b54042_c20220402134940754550_oeac_ops.h5,20220402,t1219467,e1221109,b54042_c20220402134940754550,3,4.9491e-08; -0.00022489; 0.30511;,0
SVDNB_npp_d20220402_t1221121_e1222363_b54042_c20220402135022895476_oeac_ops.h5,20220402,t1221121,e1222363,b54042_c20220402135022895476,3,4.0937e-08; -0.0002153; 0.31042;,0
SVDNB_npp_d20220429_t1213522_e1215163_b54425_c20220429134423260382_oebc_ops.h5,20220429,t1213522,e1215163,b54425_c20220429134423260382,3,2.0739e-08; -0.00017696; 0.32695;,0
SVDNB_npp_d20220429_t1215176_e1216417_b54425_c20220429134429495668_oebc_ops.h5,20220429,t1215176,e1216417,b54425_c20220429134429495668,3,6.1865e-08; -0.00024537; 0.31053;,0
SVDNB_npp_d20220430_t1156219_e1157461_b54439_c20220430132506535236_oebc_ops.h5,20220430,t1156219,e1157461,b54439_c20220430132506535236,3,6.7364e-08; -0.00025645; 0.31693;,0
SVDNB_npp_d20220430_t1334313_e1335555_b54440_c20220430150901529459_oebc_ops.h5,20220430,t1334313,e1335555,b54440_c20220430150901529459,3,5.6645e-08; -0.0002661; 0.40285;,0
SVDNB_npp_d20220501_t1136008_e1137250_b54453_c20220501130634228571_oebc_ops.h5,20220501,t1136008,e1137250,b54453_c20220501130634228571,3,1.1054e-07; -0.00032807; 0.39249;,0
SVDNB_npp_d20220501_t1137263_e1138504_b54453_c20220501130634300175_oebc_ops.h5,20220501,t1137263,e1138504,b54453_c20220501130634300175,3,6.2149e-08; -0.00024371; 0.3127;,0
SVDNB_npp_d20220429_t1213522_e1215163_b54425_c20220429134423260382_oebc_ops.h5,20220429,t1213522,e1215163,b54425_c20220429134423260382,3,2.0739e-08; -0.00017696; 0.32695;,0
SVDNB_npp_d20220429_t1215176_e1216417_b54425_c20220429134429495668_oebc_ops.h5,20220429,t1215176,e1216417,b54425_c20220429134429495668,3,6.1865e-08; -0.00024537; 0.31053;,0
SVDNB_npp_d20220430_t1156219_e1157461_b54439_c20220430132506535236_oebc_ops.h5,20220430,t1156219,e1157461,b54439_c20220430132506535236,3,6.7364e-08; -0.00025645; 0.31693;,0
SVDNB_npp_d20220430_t1334313_e1335555_b54440_c20220430150901529459_oebc_ops.h5,20220430,t1334313,e1335555,b54440_c20220430150901529459,3,5.6645e-08; -0.0002661; 0.40285;,0
SVDNB_npp_d20220501_t1136008_e1137250_b54453_c20220501130634228571_oebc_ops.h5,20220501,t1136008,e1137250,b54453_c20220501130634228571,3,1.1054e-07; -0.00032807; 0.39249;,0
SVDNB_npp_d20220429_t1213522_e1215163_b54425_c20220429134423260382_oebc_ops.h5,20220429,t1213522,e1215163,b54425_c20220429134423260382,3,2.0739e-08; -0.00017696; 0.32695;,0
SVDNB_npp_d20220429_t1215176_e1216417_b54425_c20220429134429495668_oebc_ops.h5,20220429,t1215176,e1216417,b54425_c20220429134429495668,3,6.1865e-08; -0.00024537; 0.31053;,0
SVDNB_npp_d20220430_t1156219_e1157461_b54439_c20220430132506535236_oebc_ops.h5,20220430,t1156219,e1157461,b54439_c20220430132506535236,3,6.7364e-08; -0.00025645; 0.31693;,0
SVDNB_npp_d20220430_t1334313_e1335555_b54440_c20220430150901529459_oebc_ops.h5,20220430,t1334313,e1335555,b54440_c20220430150901529459,3,5.6645e-08; -0.0002661; 0.40285;,0
SVDNB_npp_d20220501_t1136008_e1137250_b54453_c20220501130634228571_oebc_ops.h5,20220501,t1136008,e1137250,b54453_c20220501130634228571,3,1.1054e-07; -0.00032807; 0.39249;,0
SVDNB_npp_d20220501_t1137263_e1138504_b54453_c20220501130634300175_oebc_ops.h5,20220501,t1137263,e1138504,b54453_c20220501130634300175,3,6.2149e-08; -0.00024371; 0.3127;,0
SVDNB_npp_d20220429_t1213522_e1215163_b54425_c20220429134423260382_oebc_ops.h5,20220429,t1213522,e1215163,b54425_c20220429134423260382,3,2.0739e-08; -0.00017696; 0.32695;,0
SVDNB_npp_d20220429_t1215176_e1216417_b54425_c20220429134429495668_oebc_ops.h5,20220429,t1215176,e1216417,b54425_c20220429134429495668,3,6.1865e-08; -0.00024537; 0.31053;,0
SVDNB_npp_d20220430_t1156219_e1157461_b54439_c20220430132506535236_oebc_ops.h5,20220430,t1156219,e1157461,b54439_c20220430132506535236,3,6.7364e-08; -0.00025645; 0.31693;,0
SVDNB_npp_d20220430_t1334313_e1335555_b54440_c20220430150901529459_oebc_ops.h5,20220430,t1334313,e1335555,b54440_c20220430150901529459,3,5.6645e-08; -0.0002661; 0.40285;,0
SVDNB_npp_d20220501_t1136008_e1137250_b54453_c20220501130634228571_oebc_ops.h5,20220501,t1136008,e1137250,b54453_c20220501130634228571,3,1.1054e-07; -0.00032807; 0.39249;,0
SVDNB_npp_d20220501_t1137263_e1138504_b54453_c20220501130634300175_oebc_ops.h5,20220501,t1137263,e1138504,b54453_c20220501130634300175,3,6.2149e-08; -0.00024371; 0.3127;,0
SVDNB_npp_d20220529_t1250458_e1252100_b54851_c20220529142312957078_oeac_ops.h5,20220529,t1250458,e1252100,b54851_c20220529142312957078,3,8.4467e-08; -0.00030583; 0.39504;,0
SVDNB_npp_d20220529_t1252112_e1253354_b54851_c20220529142318453346_oeac_ops.h5,20220529,t1252112,e1253354,b54851_c20220529142318453346,3,5.7896e-08; -0.00026921; 0.40819;,0
SVDNB_npp_d20220530_t1231501_e1233143_b54865_c20220530140201018039_oeac_ops.h5,20220530,t1231501,e1233143,b54865_c20220530140201018039,3,1.0092e-07; -0.0003345; 0.41231;,0
SVDNB_npp_d20220530_t1233155_e1234397_b54865_c20220530140158500294_oeac_ops.h5,20220530,t1233155,e1234397,b54865_c20220530140158500294,3,4.6004e-08; -0.00024352; 0.39527;,0
SVDNB_npp_d20220531_t1212545_e1214187_b54879_c20220531134403291810_oeac_ops.h5,20220531,t1212545,e1214187,b54879_c20220531134403291810,3,1.0293e-07; -0.00033652; 0.40795;,0
SVDNB_npp_d20220531_t1214199_e1215441_b54879_c20220531134411840837_oeac_ops.h5,20220531,t1214199,e1215441,b54879_c20220531134411840837,3,1.0704e-07; -0.00034739; 0.43725;,0
SVDNB_npp_d20220529_t1250458_e1252100_b54851_c20220529142312957078_oeac_ops.h5,20220529,t1250458,e1252100,b54851_c20220529142312957078,3,7.6023e-08; -0.00028974; 0.38637;,0
SVDNB_npp_d20220529_t1252112_e1253354_b54851_c20220529142318453346_oeac_ops.h5,20220529,t1252112,e1253354,b54851_c20220529142318453346,3,5.7268e-08; -0.00026727; 0.40661;,0
SVDNB_npp_d20220530_t1231501_e1233143_b54865_c20220530140201018039_oeac_ops.h5,20220530,t1231501,e1233143,b54865_c20220530140201018039,3,9.9846e-08; -0.00033206; 0.41081;,0
SVDNB_npp_d20220530_t1233155_e1234397_b54865_c20220530140158500294_oeac_ops.h5,20220530,t1233155,e1234397,b54865_c20220530140158500294,3,4.4587e-08; -0.00023977; 0.39259;,0
